station_id,nearest_subway_name,nearest_subway_dist_m,subway_count_500m
1851254468343716806,63 Dr-Rego Park,933.6,0
2ebbe93b-a013-464a-b4a5-0eba96f89676,Fresh Pond Rd,724.0,0
bcb08532-f0d5-4c0e-ad8a-4ddacc204791,Gates Av,483.7,1
66dc1d80-0aca-11e7-82f6-3863bb44ef7c,34 St-Hudson Yards,347.1,1
1965202298784063998,Classon Av,235.7,2
66db6963-0aca-11e7-82f6-3863bb44ef7c,3 Av,167.9,4
c63a83a0-bda1-40a6-835b-f82c363543b9,125 St,403.3,1
66ddb66e-0aca-11e7-82f6-3863bb44ef7c,Lexington Av/59 St,591.3,0
1835250442210857240,Sterling St,670.9,0
6969d756-33a6-4a0b-83d0-3db38bc382d1,53 St,484.1,1
1937777808143497236,59 St-Columbus Circle,257.1,2
d8778570-f7f2-458d-82f5-9ad39210a501,Astor Pl,262.9,4
2126224996973581072,86 St,427.4,1
83a5d761-57d0-4cd6-aa2b-7eb350120d99,Whitlock Av,126.8,1
1871698348432996504,Marcy Av,545.1,0
1927314940904608224,157 St,378.6,1
3e1bdcec-e762-4e83-b447-007f05923cce,Astoria Blvd,892.7,0
d040a7b3-85b5-4c0d-9c92-3f4ad0082143,170 St,128.9,2
66dc80b4-0aca-11e7-82f6-3863bb44ef7c,5 Av/53 St,109.6,4
ab6aadd8-fa45-43aa-abea-c8e01ec5a0c8,Morgan Av,505.9,0
068b919c-f649-4091-8e12-ccf37191cad5,Freeman St,651.2,0
2124037250266884686,86 St,748.1,0
1835246937517543544,90 St-Elmhurst Av,1946.9,0
2126623007192357636,86 St,1002.3,0
82c85f05-4722-48ae-9f64-0522012eb3c8,174 St,63.9,1
ef6216aa-d3c8-46bb-8c6b-b62f8ba51b16,Broadway Junction,47.4,6
66dbee85-0aca-11e7-82f6-3863bb44ef7c,Clinton-Washington Avs,302.2,3
c80c55c4-d623-42d7-8acf-6bfa68a84ecb,170 St,1011.9,0
2a66ed0a-5e6d-4893-a1d1-876bb2bac4be,174-175 Sts,200.9,3
5145ad1c-241f-4448-a742-739bd5c518c2,61 St-Woodside,1100.6,0
816e50eb-dc4b-47dc-b773-154e2020cb0d,53 St,468.4,1
1962547377975794462,Lafayette Av,209.7,4
1860189327773878824,West Farms Sq-E Tremont Av,1314.6,0
2104286315955915532,47-50 Sts-Rockefeller Ctr,77.5,6
754ac5df-f2b5-4636-8c58-ed84ea262bde,215 St,700.5,0
66dde69c-0aca-11e7-82f6-3863bb44ef7c,7 Av,268.3,1
c3062f44-c5b9-4650-a4ec-cc66cbf5b944,Bedford Park Blvd,228.5,2
2171919049376995084,34 St-Hudson Yards,263.6,1
1848241791125254746,Woodhaven Blvd,872.6,0
66dd2060-0aca-11e7-82f6-3863bb44ef7c,Greenpoint Av,120.5,1
66dcc0b2-0aca-11e7-82f6-3863bb44ef7c,Bedford-Nostrand Avs,475.4,1
499e10ad-c008-461e-8cf7-20757218a9cc,Northern Blvd,508.8,0
645e4365-653f-48ce-bc15-5fcc287be56f,1 Av,648.2,0
6542d952-ca19-410e-9290-ee6b7a6e14cf,Bedford Park Blvd,622.7,0
1814906692908349788,Beverley Rd,128.1,2
1828965347681089818,Beverley Rd,542.4,0
66dc2c78-0aca-11e7-82f6-3863bb44ef7c,7 Av,109.0,6
9394fb49-583f-4426-8d2f-a2b0ffb584d2,Delancey St-Essex St,283.7,3
2126623765785393224,86 St,344.3,1
dd482585-3028-453f-a98d-55019db9b26c,36 St,485.5,1
66db9c2e-0aca-11e7-82f6-3863bb44ef7c,1 Av,846.6,0
2124037125711300644,86 St,96.8,1
81a98b0b-cfd6-48b4-90bd-806ebbc264a0,Botanic Garden,447.9,1
3db799ba-b574-4e5f-95e5-c767bec2acb6,3 Av-149 St,87.3,1
66de12ff-0aca-11e7-82f6-3863bb44ef7c,Cathedral Pkwy (110 St),345.7,2
8a89684b-40a5-49fe-b75d-fdf32ffa8102,Longwood Av,301.2,3
1862788202397235246,Marble Hill-225 St,434.0,2
66de2b2f-0aca-11e7-82f6-3863bb44ef7c,Carroll St,309.9,1
1882824287789509296,68 St-Hunter College,220.2,2
1786698321265653818,Marcy Av,309.5,1
4c03fa2d-89da-4f0b-8f19-c7de5edbe256,3 Av-149 St,168.3,1
cb9840a3-4ae2-420d-865c-9ac45e2f5485,Brook Av,465.4,1
fda18503-7488-4b91-b74c-949a90401e83,40 St-Lowery St,677.1,0
66dd3d7f-0aca-11e7-82f6-3863bb44ef7c,68 St-Hunter College,177.1,3
823ef531-40e6-4397-b973-86bf5b032076,Crown Hts-Utica Av,327.5,2
1869753484503987044,231 St,512.7,0
1814907423052790164,Cortelyou Rd,91.8,2
493850bd-125b-49f5-932b-bf999504fb06,Prospect Av,547.1,0
2124036103510616644,77 St,481.5,1
1859438049977968878,157 St,18.4,3
d80c274e-d17d-4a00-9b76-274c9fe4d0e1,125 St,432.4,1
93da4d1b-d574-45b0-85d7-5b82e2887267,Bay Ridge Av,643.4,0
20ff5447-eac3-43b7-820f-f6fa3a2e12a8,116 St,887.4,0
81bec993-29a5-4e70-8f60-eecdf16c7be4,Marcy Av,1154.4,0
66de43a5-0aca-11e7-82f6-3863bb44ef7c,103 St,356.2,2
18415ea7-efce-408d-bcb9-4693fb088dda,Marcy Av,674.0,0
00967b8f-1a4d-4131-a65a-17fa8ca89e28,69 St,232.1,2
c3189056-8eda-4278-891f-e8e15c2d759a,Bergen St,345.1,2
1869743938848725856,34 St-Penn Station,285.9,1
1869753654337059182,Marble Hill-225 St,98.8,1
2126622241630343402,77 St,34.3,1
1860189650739626488,Fordham Rd,1126.5,0
292ad4f3-9fb0-44ec-9e61-613c711f73c1,Franklin Av,293.1,2
1d32e684-602b-46b6-8c96-ab47b57a03f3,Park Pl,543.3,0
1815967442754883940,Church Av,26.6,1
66dd45c7-0aca-11e7-82f6-3863bb44ef7c,86 St,265.3,1
66de85d2-0aca-11e7-82f6-3863bb44ef7c,Grand St,196.0,7
1846086362824884662,Woodhaven Blvd,381.2,1
5a24acbb-94ef-4cb5-9db8-f6073ac26a2b,Astoria-Ditmars Blvd,708.4,0
579e583e-60ab-4f2a-83d0-fabebddfcd0f,Dyckman St,390.6,2
66de2199-0aca-11e7-82f6-3863bb44ef7c,4 Av-9 St,458.6,1
