start_station_id,matched_station_name,borough,GEOID,latitude,longitude,capacity,total_rides_2025,avg_daily_rides,avg_member_share,avg_trip_duration_min,ebike_share,avg_weekday_rides,avg_weekend_rides,weekday_weekend_ratio,rides_per_dock,median_household_income,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_dist_m,subway_count_500m,nearest_subway_name,income_band,poverty_band
2240.06,Shore Rd & Oliver St,Brooklyn,36047005202,40.61919,-74.0402,16.0,52,1.857,0.714,10.79,0.442,1.842,1.889,0.98,0.12,107143.0,3.9,0.3516042780748663,11225.2,837.2,0.0,Bay Ridge-95 St,Mid-High,Low
2261.04,5 Ave & 88 St,Brooklyn,36047016000,40.62021,-74.02717,16.0,259,4.709,0.666,18.94,0.764,4.368,5.471,0.8,0.29,83920.0,16.7,0.5536967080410146,7164.7,294.3,1.0,86 St,Mid-Low,Elevated
2303.05,4 Ave & 87 St,Brooklyn,36047016000,40.62184,-74.02863,20.0,176,3.826,0.752,13.0,0.625,3.5,4.75,0.74,0.19,83920.0,16.7,0.5536967080410146,7164.7,96.2,1.0,86 St,Mid-Low,Elevated
2312.02,Colonial Rd & 89 St,Brooklyn,36047005201,40.62254,-74.03726,12.0,230,3.966,0.75,13.61,0.626,3.659,4.929,0.74,0.33,40789.0,21.6,0.5175619834710744,7241.3,748.1,0.0,86 St,Low,Elevated
2335.08,Fort Hamilton Pkwy & 85 St,Brooklyn,36047014200,40.62095,-74.02388,14.0,185,3.558,0.707,13.78,0.719,3.297,4.2,0.79,0.25,81250.0,25.0,0.6234177215189873,6313.0,427.4,1.0,86 St,Mid-Low,Elevated
2345.04,Ridge Blvd & 89 St,Brooklyn,36047005201,40.62194,-74.03477,12.0,126,2.739,0.626,12.88,0.667,2.5,3.417,0.73,0.23,40789.0,21.6,0.5175619834710744,7241.3,544.2,0.0,86 St,Low,Elevated
2345.05,89 St & 3 Ave,Brooklyn,36047006000,40.62137,-74.03209,20.0,48,2.087,0.728,8.17,0.562,1.4,3.375,0.41,0.1,88542.0,3.3,0.3147574819401444,6364.1,344.3,1.0,86 St,Mid-High,Low
2377.01,4 Ave & 85 St,Brooklyn,36047006200,40.62354,-74.02817,23.0,347,6.673,0.763,10.53,0.686,6.486,7.133,0.91,0.29,83500.0,17.2,0.5036429872495446,6766.4,96.8,1.0,86 St,Mid-Low,Elevated
2387.07,86 St & Ridge Blvd,Brooklyn,36047005000,40.62402,-74.03396,16.0,258,4.095,0.679,16.73,0.605,3.532,5.75,0.61,0.26,134013.0,10.3,0.245088868101029,4772.5,492.3,1.0,86 St,Mid-High,Moderate
2419.03,84 St & 3 Ave,Brooklyn,36047006200,40.62503,-74.03059,12.0,141,2.765,0.649,10.31,0.643,2.632,3.154,0.83,0.23,83500.0,17.2,0.5036429872495446,6766.4,319.5,1.0,86 St,Mid-Low,Elevated
2453.05,4 Ave & 81 St,Brooklyn,36047004600,40.62643,-74.02707,18.0,197,3.456,0.688,11.32,0.655,3.163,4.357,0.73,0.19,134773.0,9.9,0.18359375,1771.1,391.1,2.0,77 St,Mid-High,Moderate
2463.04,Ridge Blvd & 82 St,Brooklyn,36047004600,40.62711,-74.0326,12.0,97,2.109,0.517,10.57,0.66,2.0,2.385,0.84,0.18,134773.0,9.9,0.18359375,1771.1,606.3,0.0,86 St,Mid-High,Moderate
2472.02,Shore Rd & 86 St,Brooklyn,36047005000,40.62561,-74.04079,12.0,51,1.962,0.538,14.73,0.373,1.895,2.143,0.88,0.16,134013.0,10.3,0.245088868101029,4772.5,1095.2,0.0,86 St,Mid-High,Moderate
