GEOID,total_rows,missing_rows,missing_share
36047056100,1749,0,0.0
36047056301,729,0,0.0
36047056302,730,0,0.0
36047056500,730,0,0.0
36047057100,684,0,0.0
36047057300,344,0,0.0
36047057500,728,0,0.0
36047057901,1539,0,0.0
36047058901,722,0,0.0
36047059100,1097,0,0.0
36047059300,365,0,0.0
36047079201,364,0,0.0
36047079202,364,0,0.0
36047079400,710,0,0.0
36047079601,1095,0,0.0
36047079602,365,0,0.0
36047079801,365,0,0.0
36047079802,729,0,0.0
36047080000,730,0,0.0
36047080200,363,0,0.0
36047080400,1456,0,0.0
36047080600,1095,0,0.0
36047080800,1068,0,0.0
36047081000,625,0,0.0
36047081400,386,0,0.0
36047081600,337,0,0.0
36047081800,1085,0,0.0
36047082000,728,0,0.0
36047082400,663,0,0.0
36047082600,664,0,0.0
36047085000,605,0,0.0
36047085400,972,0,0.0
36047085600,943,0,0.0
36047085800,692,0,0.0
36047086000,287,0,0.0
36047086800,684,0,0.0
36047087200,1017,0,0.0
36047087401,690,0,0.0
36047087600,703,0,0.0
36047087800,333,0,0.0
36047088001,286,0,0.0
36047090000,363,0,0.0
36047123700,365,0,0.0
36047150200,1025,0,0.0
36047152200,2152,0,0.0
36061000201,365,0,0.0
36061000202,1067,0,0.0
36061000600,1824,0,0.0
36061000700,3313,0,0.0
36061000800,1095,0,0.0
36061000900,1797,0,0.0
36061001002,730,0,0.0
36061001200,730,0,0.0
36061001300,2549,0,0.0
36061001401,900,0,0.0
36061001501,1194,0,0.0
36061001502,1195,0,0.0
36061001600,1566,0,0.0
36061001800,2179,0,0.0
36061002000,696,0,0.0
36061002100,1821,0,0.0
36061002201,721,0,0.0
36061002202,365,0,0.0
36061002400,821,0,0.0
36061002500,729,0,0.0
36061002601,365,0,0.0
36061002602,365,0,0.0
36061002700,365,0,0.0
36061002800,1049,0,0.0
36061002901,363,0,0.0
36061003001,729,0,0.0
36061003002,835,0,0.0
36061003100,1193,0,0.0
36061003200,2556,0,0.0
36061003300,2746,0,0.0
36061003400,1446,0,0.0
36061003601,731,0,0.0
36061003602,1460,0,0.0
36061003700,2305,0,0.0
36061003800,1929,0,0.0
36061003900,2645,0,0.0
36061004001,1488,0,0.0
36061004002,365,0,0.0
36061004100,719,0,0.0
