start_station_id,matched_station_name,GEOID,latitude,longitude,capacity,total_rides_2025,avg_daily_rides,median_daily_rides,avg_member_rides,avg_casual_rides,avg_member_share,active_days,avg_rides_per_active_day,median_household_income,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_dist_m,subway_count_500m,nearest_subway_name,rides_per_dock,stations_in_tract,income_band,poverty_band,no_vehicle_band,total_households,households_no_vehicle,borough,avg_weekday_rides,avg_weekday_member_share,avg_weekend_rides,avg_weekend_member_share,weekday_weekend_ratio
2240.06,Shore Rd & Oliver St,36047005202,40.61919,-74.0402,16.0,52,1.857,1.0,1.286,0.571,0.714,28,1.9,107143.0,3.9,0.3516042780748663,11225.2,837.2,0.0,Bay Ridge-95 St,0.12,1,Mid-High,Low,Low,1496.0,526.0,Brooklyn,1.842,0.667,1.889,0.815,0.98
2261.04,5 Ave & 88 St,36047016000,40.62021,-74.02717,16.0,259,4.709,3.0,2.982,1.727,0.666,55,4.7,83920.0,16.7,0.5536967080410146,7164.7,294.3,1.0,86 St,0.29,3,Mid-Low,Elevated,Low,1853.0,1026.0,Brooklyn,4.368,0.654,5.471,0.691,0.8
2303.05,4 Ave & 87 St,36047016000,40.62184,-74.02863,20.0,176,3.826,3.5,2.783,1.043,0.752,46,3.8,83920.0,16.7,0.5536967080410146,7164.7,96.2,1.0,86 St,0.19,3,Mid-Low,Elevated,Low,1853.0,1026.0,Brooklyn,3.5,0.755,4.75,0.742,0.74
2312.02,Colonial Rd & 89 St,36047005201,40.62254,-74.03726,12.0,230,3.966,3.0,2.793,1.172,0.75,58,4.0,40789.0,21.6,0.5175619834710744,7241.3,748.1,0.0,86 St,0.33,2,Low,Elevated,Low,968.0,501.0,Brooklyn,3.659,0.746,4.929,0.761,0.74
2335.08,Fort Hamilton Pkwy & 85 St,36047014200,40.62095,-74.02388,14.0,185,3.558,3.0,2.577,0.981,0.707,52,3.6,81250.0,25.0,0.6234177215189873,6313.0,427.4,1.0,86 St,0.25,2,Mid-Low,Elevated,Moderate,1264.0,788.0,Brooklyn,3.297,0.697,4.2,0.732,0.79
2345.04,Ridge Blvd & 89 St,36047005201,40.62194,-74.03477,12.0,126,2.739,2.5,1.783,0.957,0.626,46,2.7,40789.0,21.6,0.5175619834710744,7241.3,544.2,0.0,86 St,0.23,2,Low,Elevated,Low,968.0,501.0,Brooklyn,2.5,0.616,3.417,0.652,0.73
2345.05,89 St & 3 Ave,36047006000,40.62137,-74.03209,20.0,48,2.087,1.0,1.348,0.739,0.728,23,2.1,88542.0,3.3,0.3147574819401444,6364.1,344.3,1.0,86 St,0.1,1,Mid-High,Low,Low,969.0,305.0,Brooklyn,1.4,0.733,3.375,0.719,0.41
2377.01,4 Ave & 85 St,36047006200,40.62354,-74.02817,23.0,347,6.673,7.0,4.923,1.75,0.763,52,6.7,83500.0,17.2,0.5036429872495446,6766.4,96.8,1.0,86 St,0.29,2,Mid-Low,Elevated,Low,1098.0,553.0,Brooklyn,6.486,0.759,7.133,0.772,0.91
2387.07,86 St & Ridge Blvd,36047005000,40.62402,-74.03396,16.0,258,4.095,3.0,2.508,1.587,0.679,63,4.1,134013.0,10.3,0.245088868101029,4772.5,492.3,1.0,86 St,0.26,2,Mid-High,Moderate,Low,1069.0,262.0,Brooklyn,3.532,0.727,5.75,0.537,0.61
2419.03,84 St & 3 Ave,36047006200,40.62503,-74.03059,12.0,141,2.765,2.0,1.706,1.059,0.649,51,2.8,83500.0,17.2,0.5036429872495446,6766.4,319.5,1.0,86 St,0.23,2,Mid-Low,Elevated,Low,1098.0,553.0,Brooklyn,2.632,0.631,3.154,0.701,0.83
