station_id,station_name,latitude,longitude,capacity,GEOID,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_name,nearest_subway_dist_m,subway_count_500m
3e9e50cc-f336-439f-bd0b-dec5499c038d,Albany St & Greenwich St,40.709267,-74.013247,46,36061001300,171923.0,2780,2567,11.9,0.9233812949640288,8763.7,Rector St,200.2,12
79c4a612-a5df-4814-9e6b-6305da61ebc4,Inwood Ave & W 170 St,40.840536,-73.919228,21,36005021900,48444.0,489,384,14.0,0.7852760736196319,3421.0,170 St,131.3,1
66dde914-0aca-11e7-82f6-3863bb44ef7c,Butler St & Court St,40.6849894,-73.99440329,35,36047006902,226136.0,826,597,3.6,0.7227602905569007,7893.4,Bergen St,325.1,1
341730d7-a61d-499d-8c07-fa015f644e54,W 37 St & Broadway,40.75227093837409,-73.98770570755005,84,36061010900,163542.0,113,107,28.4,0.9469026548672568,643.0,Times Sq-42 St,278.8,9
1786696384892428996,Monitor St & Meeker Ave,40.721226,-73.941845,21,36047047700,179175.0,1887,1115,9.1,0.5908850026497086,8663.7,Graham Av,763.7,0
66db64d1-0aca-11e7-82f6-3863bb44ef7c,Madison St & Montgomery St,40.713126,-73.984844,20,36061000202,36688.0,3163,2641,28.7,0.8349668036674044,10201.9,East Broadway,453.9,1
c46a2889-258b-4fc5-a452-1d4e7dfe683a,3 Ave & Franklin Ave,40.82696,-73.907451,19,36005018502,28963.0,2106,1395,50.8,0.6623931623931624,9253.0,Prospect Av,949.2,0
1840540966407039246,111 St & 37 Ave,40.75397,-73.85748,23,36081040102,75660.0,1102,681,22.6,0.6179673321234119,8883.9,111 St,307.8,1
66db88f5-0aca-11e7-82f6-3863bb44ef7c,Lawrence St & Willoughby St,40.69236178,-73.98631746,39,36047001100,203958.0,859,693,10.5,0.8067520372526193,5097.7,Jay St-MetroTech,37.6,8
a3e2b360-f050-48ea-b8c8-57d897b8f7fc,Harman St & Seneca Ave,40.70577,-73.91292,19,36081054500,66076.0,1398,737,9.2,0.5271816881258942,12320.0,DeKalb Av,512.6,0
e5b2a7ce-d867-465b-8446-743e00617068,47 Ave & 48 St,40.74086,-73.91708,20,36081023501,60044.0,1575,1140,18.9,0.7238095238095238,11406.8,46 St-Bliss St,277.2,1
40fd82d6-c0e9-4876-adfb-816140ecfc39,Fort Hamilton Pkwy & E 2 St,40.648005,-73.979342,19,36047050001,124177.0,945,400,12.0,0.4232804232804232,6747.6,Fort Hamilton Pkwy,431.1,2
66de10a8-0aca-11e7-82f6-3863bb44ef7c,2 Ave & E 99 St,40.7862586,-73.94552579,31,36061016400,26544.0,3425,2757,37.2,0.804963503649635,19308.2,96 St,255.6,2
