GEOID,tract_name,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share
1400000US36005026900,,27569,1926,1484,37.7,0.770508826583593
1400000US36005027300,,51730,2979,2049,26.7,0.6878147029204431
1400000US36005027401,,105346,1840,256,9.2,0.1391304347826087
1400000US36005027402,,108235,1316,93,7.3,0.07066869300911854
1400000US36005027600,,,31,8,10.4,0.25806451612903225
1400000US36005027700,,48750,1790,1453,30.4,0.8117318435754189
1400000US36005027900,,72721,3017,1731,17.2,0.5737487570434207
1400000US36005028100,,65982,1673,1007,5.5,0.6019127316198446
1400000US36005028300,,13796,1044,574,65.2,0.5498084291187739
1400000US36005028400,,,0,0,79.3,
1400000US36005028500,,70659,1799,885,10.3,0.4919399666481378
1400000US36005028600,,72692,532,87,7.2,0.16353383458646617
1400000US36005028700,,62500,1244,611,8.8,0.49115755627009644
1400000US36005028800,,97969,1046,170,9.2,0.16252390057361377
1400000US36005028900,,61797,1861,1290,18.6,0.6931757119828049
1400000US36005029301,,145951,939,192,5.5,0.20447284345047922
1400000US36005029302,,133102,2652,716,1.8,0.26998491704374056
1400000US36005029500,,98125,2014,788,16.2,0.3912611717974181
1400000US36005029600,,57474,1098,656,18.6,0.5974499089253188
1400000US36005029700,,100548,1887,772,3.4,0.40911499735029144
1400000US36005030000,,78155,2560,765,9.1,0.298828125
1400000US36005030100,,80357,692,279,8.1,0.4031791907514451
1400000US36005030201,,69500,1686,847,10.2,0.5023724792408066
1400000US36005030202,,74044,2683,1262,8.3,0.4703689899366381
1400000US36005030701,,109890,2411,564,4.2,0.23392783077561177
1400000US36005030900,,117333,1442,365,3.1,0.25312066574202496
1400000US36005031000,,148168,1291,90,4.2,0.069713400464756
1400000US36005031200,,108056,532,121,11.6,0.2274436090225564
1400000US36005031400,,111800,596,113,5.2,0.18959731543624161
1400000US36005031600,,79263,711,209,17.9,0.2939521800281294
1400000US36005031800,,96000,542,45,4.2,0.08302583025830258
1400000US36005031900,,,6,0,88.0,0.0
1400000US36005032300,,95556,2690,1189,3.6,0.44200743494423794
1400000US36005032400,,31489,1293,765,32.7,0.5916473317865429
1400000US36005032600,,89323,1065,250,15.5,0.2347417840375587
1400000US36005032800,,49720,1407,962,18.8,0.6837242359630419
1400000US36005033000,,40133,2087,1167,24.0,0.5591758505031145
1400000US36005033201,,35360,2258,1565,28.0,0.6930912311780336
1400000US36005033202,,50245,1478,988,25.3,0.6684709066305818
1400000US36005033400,,,8,8,6.3,1.0
1400000US36005033500,,109867,801,220,13.5,0.2746566791510612
1400000US36005033601,,20765,2188,1810,45.5,0.8272394881170019
1400000US36005033602,,70475,589,124,14.0,0.21052631578947367
1400000US36005033700,,125273,1049,136,5.0,0.12964728312678742
1400000US36005033801,,72725,913,442,22.9,0.484118291347207
1400000US36005033802,,62153,528,373,33.5,0.7064393939393939
1400000US36005034000,,63500,1762,812,19.8,0.4608399545970488
1400000US36005034200,,73298,625,141,18.8,0.2256
1400000US36005034300,,76940,575,158,4.9,0.2747826086956522
1400000US36005034400,,79167,586,199,34.1,0.3395904436860068
1400000US36005034500,,100539,1680,613,10.1,0.36488095238095236
1400000US36005034800,,55700,2106,983,18.9,0.46676163342830007
1400000US36005035000,,72778,790,254,7.6,0.32151898734177214
1400000US36005035100,,94948,1258,431,7.3,0.3426073131955485
1400000US36005035600,,85962,678,151,12.6,0.22271386430678466
1400000US36005035800,,87553,2646,743,9.3,0.2808012093726379
1400000US36005035900,,34472,1693,1300,42.5,0.7678676904902539
1400000US36005036000,,85708,962,220,18.7,0.2286902286902287
1400000US36005036100,,29250,1969,1597,48.9,0.8110716099542915
1400000US36005036300,,27273,2458,1899,40.6,0.7725793327908869
1400000US36005036400,,64850,857,395,9.8,0.46091015169194866
1400000US36005036501,,47739,1445,824,24.5,0.5702422145328719
1400000US36005036502,,27110,768,455,37.6,0.5924479166666666
1400000US36005036700,,27465,777,476,41.1,0.6126126126126126
1400000US36005036800,,65781,624,294,28.1,0.47115384615384615
1400000US36005036901,,16232,763,614,44.8,0.8047182175622543
1400000US36005036902,,36484,850,624,37.6,0.7341176470588235
1400000US36005037000,,108523,735,283,16.7,0.38503401360544215
1400000US36005037100,,39932,1769,1199,24.1,0.677784058790277
1400000US36005037200,,75224,852,402,12.8,0.47183098591549294
1400000US36005037300,,50000,2382,2056,22.9,0.8631402183039463
1400000US36005037400,,35785,1506,1010,32.5,0.6706507304116865
1400000US36005037504,,40219,1560,1084,32.4,0.6948717948717948
1400000US36005037600,,60288,767,371,23.8,0.48370273794002605
1400000US36005037800,,65964,1186,666,22.7,0.5615514333895447
1400000US36005037900,,50250,2212,1542,30.5,0.6971066907775768
1400000US36005038000,,48073,2114,1233,44.9,0.5832544938505203
1400000US36005038100,,42015,2726,1887,33.0,0.6922230374174615
1400000US36005038200,,83125,967,402,16.5,0.4157187176835574
1400000US36005038301,,44040,1601,1156,36.9,0.722048719550281
1400000US36005038303,,45258,1237,974,25.8,0.7873888439773646
1400000US36005038304,,26842,844,714,48.1,0.8459715639810427
1400000US36005038500,,13554,1884,1505,72.3,0.7988322717622081
1400000US36005038600,,68481,2869,1427,20.4,0.4973858487277797
1400000US36005038700,,44982,1481,1189,29.2,0.8028359216745442
1400000US36005038800,,61000,990,299,21.0,0.302020202020202
1400000US36005038900,,46471,1954,1545,34.7,0.7906857727737974
1400000US36005039000,,56563,1104,508,18.7,0.4601449275362319
1400000US36005039100,,34663,3026,1659,33.6,0.5482485128883013
1400000US36005039200,,67917,634,244,19.3,0.38485804416403785
1400000US36005039300,,27776,3092,2425,37.7,0.7842820181112549
1400000US36005039400,,60373,1701,1208,28.6,0.7101704879482658
1400000US36005039500,,21674,1821,1481,41.5,0.8132894014277869
1400000US36005039600,,48798,1436,923,26.3,0.6427576601671309
1400000US36005039700,,31964,521,461,35.8,0.8848368522072937
1400000US36005039800,,28491,1251,441,47.7,0.35251798561151076
1400000US36005039901,,43503,1678,1125,20.3,0.6704410011918951
1400000US36005039902,,43491,1727,1382,23.8,0.8002316155182397
1400000US36005040100,,28649,2172,1601,44.7,0.7371086556169429
1400000US36005040302,,37756,1581,1176,44.2,0.7438330170777988
1400000US36005040303,,42750,1375,1033,30.8,0.7512727272727273
1400000US36005040304,,36913,1267,991,37.7,0.7821625887924231
1400000US36005040400,,65451,1123,393,15.7,0.3499554764024933
1400000US36005040501,,42386,1325,1057,24.9,0.7977358490566038
1400000US36005040502,,38884,2461,1504,35.9,0.6111336854937017
1400000US36005040600,,48857,1413,640,20.8,0.45293701344656756
1400000US36005040701,,46188,1205,874,33.4,0.725311203319502
1400000US36005040702,,33946,2801,2140,27.9,0.7640128525526597
1400000US36005040800,,41555,1467,882,20.8,0.6012269938650306
1400000US36005040900,,67793,1409,604,3.9,0.42867281760113557
1400000US36005041100,,54219,1571,1186,20.3,0.75493316359007
1400000US36005041300,,60254,3199,2007,28.1,0.6273835573616755
1400000US36005041400,,125302,1779,420,13.7,0.23608768971332209
1400000US36005041500,,50579,2293,1752,23.2,0.7640645442651548
1400000US36005041800,,62567,1289,702,15.8,0.5446082234290147
1400000US36005041900,,57079,2592,1796,17.1,0.6929012345679012
1400000US36005042000,,31776,1711,1115,44.5,0.6516656925774401
1400000US36005042100,,52824,2290,1677,30.5,0.7323144104803494
1400000US36005042200,,75201,1292,473,8.0,0.36609907120743035
1400000US36005042300,,71422,1485,1045,22.5,0.7037037037037037
1400000US36005042400,,106468,760,187,10.5,0.24605263157894736
1400000US36005042500,,48280,2369,1522,33.0,0.6424651751794006
1400000US36005042600,,99764,2165,623,16.4,0.2877598152424942
1400000US36005042800,,168646,809,78,8.6,0.09641532756489493
1400000US36005042901,,46779,1249,727,33.6,0.5820656525220176
1400000US36005042902,,44663,1599,1268,23.7,0.792995622263915
1400000US36005043000,,85074,1327,439,11.7,0.3308214016578749
1400000US36005043101,,40089,1833,1364,40.1,0.7441352973267867
1400000US36005043102,,50926,1692,1141,21.8,0.6743498817966903
1400000US36005043400,,76036,1597,436,26.0,0.27301189730745146
1400000US36005043501,,,446,318,35.9,0.7130044843049327
1400000US36005043502,,,0,0,,
1400000US36005043503,,,0,0,,
1400000US36005043600,,84735,753,282,13.0,0.3745019920318725
1400000US36005044200,,56434,1261,422,32.1,0.3346550356859635
1400000US36005044400,,89615,1424,474,15.6,0.33286516853932585
1400000US36005044800,,104094,713,258,19.0,0.36185133239831696
1400000US36005044901,,91419,910,246,6.9,0.2703296703296703
1400000US36005044902,,99297,973,253,11.0,0.26002055498458376
1400000US36005045101,,77246,1030,583,1.8,0.5660194174757281
1400000US36005045102,,99395,966,283,4.2,0.29296066252587993
1400000US36005045600,,79386,1217,235,1.8,0.19309778142974526
1400000US36005045800,,30453,2071,1516,42.6,0.7320135200386286
1400000US36005046000,,44355,939,509,31.3,0.5420660276890309
1400000US36005046203,,40755,3104,1347,12.3,0.4339561855670103
1400000US36005046204,,63652,2450,941,10.3,0.3840816326530612
1400000US36005046205,,75679,1840,872,16.7,0.47391304347826085
1400000US36005046206,,67234,2040,995,1.2,0.4877450980392157
1400000US36005046207,,59838,2913,1273,16.2,0.4370065224854102
1400000US36005046208,,87061,1403,221,8.6,0.15751960085531005
1400000US36005046209,,30185,1410,974,51.9,0.6907801418439716
1400000US36005048401,,88862,1251,353,11.2,0.2821742605915268
1400000US36005048402,,,0,0,,
1400000US36005050400,,,0,0,,
1400000US36005051601,,103125,1949,207,5.2,0.10620831195484864
1400000US36005051602,,,0,0,,
1400000US36047000100,,178162,2594,1318,2.8,0.5080956052428681
1400000US36047000200,,79375,383,212,34.5,0.5535248041775457
1400000US36047000301,,185128,2100,1325,5.2,0.6309523809523809
1400000US36047000501,,141364,1958,1465,8.4,0.7482124616956077
1400000US36047000502,,168013,1498,964,7.5,0.6435246995994659
